wav_stem,begin_time_s,end_time_s,duration_s,low_freq_khz,high_freq_khz,score
2024-09-30_20-19-32_0002790,1.24825583333333,1.39798208333333,0.14972625,39.375,107.1875,0.625263273715973
2024-09-30_20-19-32_0002790,1.48118208333333,1.52118208333333,0.04,45.3125,104.375,0.565850615501404
2024-09-30_20-19-32_0002790,1.53238208333333,1.57078208333333,0.0384,58.4375,66.5625,0.794906079769135
2024-09-30_20-19-32_0002790,1.63158208333333,1.66518208333333,0.0336000000000001,67.5,84.375,0.559830367565155
2024-09-30_20-19-32_0002790,1.94610833333333,1.99570833333333,0.0496000000000001,58.4375,88.4375,0.792663395404816
2024-09-30_20-19-32_0002790,2.04530833333333,2.24783458333333,0.20252625,43.75,86.875,0.670209228992462
2024-09-30_20-19-32_0002790,2.37903458333333,2.43023458333333,0.0512000000000001,59.6875,75.9375,0.830184876918793
2024-09-30_20-19-32_0002790,2.49263458333333,2.53263458333333,0.04,58.125,68.75,0.579784333705902
2024-09-30_20-35-28_0002874,1.70476083333333,1.80076083333333,0.0960000000000001,65.625,106.25,0.587580919265747
2024-09-30_20-59-17_0002978,1.02510916666667,1.08590916666667,0.0608,65.3125,84.375,0.791485548019409
2024-09-30_20-59-17_0002978,1.13710916666667,1.24110916666667,0.104,80.9375,116.5625,0.582044243812561
2024-09-30_20-59-17_0002978,1.29390916666667,1.54486208333333,0.250952916666667,52.8125,101.875,0.58660489320755
2024-09-30_20-59-17_0002978,1.60086208333333,1.65526208333333,0.0544,64.0625,94.375,0.764839053153992
2024-09-30_20-59-17_0002978,1.736615,1.76566208333333,0.0290470833333334,78.4375,90,0.615181684494019
2024-09-30_21-01-25_0002999,1.01235777777778,1.07635777777778,0.0640000000000001,74.0625,117.1875,0.636862993240356
2024-09-30_21-01-25_0002999,1.15795777777778,1.21395777777778,0.0559999999999998,71.875,105.9375,0.774312317371368
2024-09-30_21-01-25_0002999,1.27955777777778,1.30515777777778,0.0256000000000001,88.125,104.6875,0.712630450725555
2024-09-30_21-01-25_0002999,1.30835777777778,1.33395777777778,0.0256000000000001,73.125,85.3125,0.695760905742645
2024-09-30_21-01-25_0002999,1.39475777777778,1.47155777777778,0.0768,70.9375,108.4375,0.685420155525208
2024-09-30_21-01-25_0002999,1.540135,1.596135,0.056,72.5,105.9375,0.645653784275055
2024-09-30_21-01-25_0002999,1.660135,1.725735,0.0656000000000001,70.9375,105.3125,0.688319623470306
2024-09-30_21-01-25_0002999,1.770535,1.820135,0.0496000000000001,60.9375,70.625,0.77883380651474
2024-09-30_21-01-25_0002999,1.90471222222222,1.95431222222222,0.0496000000000001,60.9375,70.625,0.528592109680176
2024-09-30_12-00-17_0000391,0.99874,1.06914,0.0704,82.8125,100,0.835801362991333
